name,birthday,nationality
Leonardo DiCaprio,1974-11-11,USA
Denzel Washington,1954-12-28,USA
Brad Pitt,1963-12-18,USA
Joaquin Phoenix,1974-10-28,USA
Saoirse Ronan,1994-04-12,USA
Meryl Streep,1949-06-22,USA
Tom Hanks,1956-07-09,USA
Scarlett Johansson,1984-11-22,USA
Marina Ruy Barbosa,1995-06-30,BRAZIL
Wagner Moura,1976-06-27,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Alice Braga,1983-04-15,BRAZIL
Bruno Gagliasso,1982-04-13,BRAZIL
Fernanda Montenegro,1929-10-16,BRAZIL
Juliana Paes,1979-03-26,BRAZIL
Camila Morgado,1975-04-12,BRAZIL
